URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,13,2,0.733333284,0.05050505,9.28125,0.552188552,3.933375421,9.28125,164,297,2.898989899,6,7.063973064,8.063973064
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,62,32,0.319148933,0.108294931,10.21176471,0.637096774,4.339544592,10.21176471,553,868,3.065668203,8,7.498847926,8.498847926
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,45,25,0.285714282,0.096153846,11.74193548,0.678571429,4.968202765,11.74193548,494,728,3.298076923,15,8.193681319,9.193681319
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,43,76,-0.277310922,0.164591978,12.68421053,0.656984786,5.336478125,12.68421053,475,723,3.228215768,7,8.052558783,9.052558783
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,28,9,0.5135135,0.076446281,10.52173913,0.574380165,4.438447718,10.52173913,278,484,2.946280992,8,7.491735537,8.491735537
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,93,27,0.549999995,0.102476516,12.19791667,0.643040137,5.136382721,12.19791667,753,1171,3.12382579,8,7.9470538,8.9470538
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,30,45,-0.199999997,0.125838926,9.3125,0.577181208,3.955872483,9.3125,344,596,2.926174497,3,7.286912752,8.286912752
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,36,10,0.565217379,0.079584775,10.90566038,0.693771626,4.639772801,10.90566038,401,578,3.359861592,5,8.226643599,9.226643599
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,45,51,-0.062499999,0.138129496,11.03174603,0.674820144,4.68262647,11.03174603,469,695,3.316546763,5,8.171223022,9.171223022
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,67,69,-0.014705882,0.165853658,9.318181818,0.646341463,3.985809313,9.318181818,530,820,3.18902439,10,8.013414634,9.013414634
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,67,20,0.540229879,0.098416289,12.10958904,0.669683258,5.11170892,12.10958904,592,884,3.185520362,5,7.908371041,8.908371041
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,87,25,0.553571424,0.115107914,10.81111111,0.659815005,4.588370446,10.81111111,642,973,3.214799589,4,7.755395683,8.755395683
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,45,14,0.52542372,0.148241206,13.26666667,0.690954774,5.583048576,13.26666667,275,398,3.331658291,5,8.022613065,9.022613065
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,28,28,0,0.088748019,7.987341772,0.621236133,3.443431162,7.987341772,392,631,2.974643423,5,7.440570523,8.440570523
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,41,28,0.188405794,0.093117409,10.89705882,0.623481781,4.608216242,10.89705882,462,741,3.018893387,9,7.524966262,8.524966262
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,41,28,0.188405794,0.093117409,10.89705882,0.623481781,4.608216242,10.89705882,462,741,3.018893387,9,7.524966262,8.524966262
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,50,13,0.587301578,0.091040462,9.885714286,0.61416185,4.199950454,9.885714286,425,692,2.968208092,7,7.479768786,8.479768786
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,39,11,0.559999989,0.07788162,11.67272727,0.669781931,4.937003682,11.67272727,430,642,3.121495327,3,7.697819315,8.697819315
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,65,7,0.805555544,0.076352068,9.067307692,0.638388123,3.882278326,9.067307692,602,943,2.955461294,7,7.518557794,8.518557794
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,15,1,0.874999945,0.048048048,10.74193548,0.585585586,4.531008428,10.74193548,195,333,2.987987988,3,7.498498498,8.498498498
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,29,48,-0.246753244,0.11827957,11.42105263,0.637480799,4.823413372,11.42105263,415,651,3.036866359,8,7.585253456,8.585253456
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,19,11,0.266666658,0.09868421,8.685714286,0.598684211,3.713759398,8.685714286,182,304,3.003289474,8,7.424342105,8.424342105
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,35,16,0.372549012,0.065976714,10.5890411,0.580853816,4.467957965,10.5890411,449,773,2.910737387,9,7.113842173,8.113842173
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,30,4,0.76470586,0.083950617,13.96551724,0.612345679,5.831145168,13.96551724,248,405,2.967901235,3,7.291358025,8.291358025
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,26,12,0.368421043,0.067256637,11.77083333,0.504424779,4.910103245,11.77083333,285,565,2.718584071,8,6.828318584,7.828318584
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,30,15,0.333333326,0.077720207,10.52727273,0.569948187,4.438888366,10.52727273,330,579,2.887737478,4,7.16925734,8.16925734
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,31,27,0.068965516,0.087613293,10.67741935,0.533232628,4.484260793,10.67741935,353,662,2.750755287,29,6.806646526,7.806646526
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,39,26,0.199999997,0.102523659,11.52727273,0.615141956,4.856965873,11.52727273,390,634,3.03785489,12,7.523659306,8.523659306
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,75,35,0.36363636,0.098389982,13.30952381,0.615384615,5.56996337,13.30952381,688,1118,2.969588551,3,7.415921288,8.415921288
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,67,38,0.276190474,0.145027624,8.227272727,0.526243094,3.501406328,8.227272727,381,724,2.806629834,9,6.976519337,7.976519337
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,72,37,0.321100914,0.11010101,10.87912088,0.628282828,4.602961483,10.87912088,622,990,3.028282828,5,7.525252525,8.525252525
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,71,28,0.43434343,0.123134328,8.121212121,0.523631841,3.457937585,8.121212121,421,804,2.812189055,20,6.905472637,7.905472637
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,65,24,0.460674152,0.099775785,9.695652174,0.565022422,4.104269838,9.695652174,504,892,2.878923767,20,7.214125561,8.214125561
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,52,24,0.368421048,0.112592592,10.546875,0.542222222,4.435638889,10.546875,366,675,2.854814815,23,7.165925926,8.165925926
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,34,13,0.446808501,0.100213219,8.849056604,0.556503198,3.762223921,8.849056604,261,469,2.867803838,9,7.176972281,8.176972281
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,7,1,0.749999906,0.057553956,19.85714286,0.611510791,8.187461459,19.85714286,85,139,3.151079137,2,7.604316547,8.604316547
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,45,14,0.52542372,0.131111111,10.46511628,0.544444444,4.403824289,10.46511628,245,450,2.735555556,4,6.988888889,7.988888889
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,74,42,0.275862067,0.106324473,11.85869565,0.535288726,4.957593751,11.85869565,584,1091,2.840513291,13,6.950504125,7.950504125
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,53,64,-0.094017093,0.114146341,9.579439252,0.540487805,4.047970823,9.579439252,554,1025,2.75804878,3,7.015609756,8.015609756
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,43,23,0.303030298,0.091034483,11.328125,0.64,4.78725,11.328125,464,725,3.044137931,12,7.564137931,8.564137931
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,38,30,0.117647057,0.0945758,7.731182796,0.54798331,3.311666442,7.731182796,394,719,2.845618915,8,6.949930459,7.949930459
